Metric,Value
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.1995
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19997
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.000502245
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.000275985
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.0000263377
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.000275985
design_powergrid__voltage__worst,0.000275985
design_powergrid__voltage__worst__net:VPWR,1.1995
design_powergrid__drop__worst,0.000502245
design_powergrid__drop__worst__net:VPWR,0.000502245
design_powergrid__voltage__worst__net:VGND,0.000275985
design_powergrid__drop__worst__net:VGND,0.000275985
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.0000325999999999999995835796295917674569864175282418727874755859375
ir__drop__worst,0.000501999999999999950602014298084441179526038467884063720703125
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
