Metric,Value
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19969
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19999
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.000308122
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.000245713
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.00000977334
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.000245713
design_powergrid__voltage__worst,0.000245713
design_powergrid__voltage__worst__net:VPWR,1.19969
design_powergrid__drop__worst,0.000308122
design_powergrid__drop__worst__net:VPWR,0.000308122
design_powergrid__voltage__worst__net:VGND,0.000245713
design_powergrid__drop__worst__net:VGND,0.000245713
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.000010099999999999999860593284661813839875321718864142894744873046875
ir__drop__worst,0.000308000000000000005544176229221875473740510642528533935546875
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
